full_date,year,quarter,month,month_name,week_of_year,day,day_name,is_weekend,is_month_end
01/01/2024,2024,Q1,1,January,1,1,Monday,No,No
02/01/2024,2024,Q1,1,January,1,2,Tuesday,No,No
03/01/2024,2024,Q1,1,January,1,3,Wednesday,No,No
04/01/2024,2024,Q1,1,January,1,4,Thursday,No,No
05/01/2024,2024,Q1,1,January,1,5,Friday,No,No
06/01/2024,2024,Q1,1,January,1,6,Saturday,Yes,No
07/01/2024,2024,Q1,1,January,1,7,Sunday,Yes,No
08/01/2024,2024,Q1,1,January,2,8,Monday,No,No
09/01/2024,2024,Q1,1,January,2,9,Tuesday,No,No
10/01/2024,2024,Q1,1,January,2,10,Wednesday,No,No
11/01/2024,2024,Q1,1,January,2,11,Thursday,No,No
12/01/2024,2024,Q1,1,January,2,12,Friday,No,No
13/01/2024,2024,Q1,1,January,2,13,Saturday,Yes,No
14/01/2024,2024,Q1,1,January,2,14,Sunday,Yes,No
15/01/2024,2024,Q1,1,January,3,15,Monday,No,No
16/01/2024,2024,Q1,1,January,3,16,Tuesday,No,No
17/01/2024,2024,Q1,1,January,3,17,Wednesday,No,No
18/01/2024,2024,Q1,1,January,3,18,Thursday,No,No
19/01/2024,2024,Q1,1,January,3,19,Friday,No,No
20/01/2024,2024,Q1,1,January,3,20,Saturday,Yes,No
21/01/2024,2024,Q1,1,January,3,21,Sunday,Yes,No
22/01/2024,2024,Q1,1,January,4,22,Monday,No,No
23/01/2024,2024,Q1,1,January,4,23,Tuesday,No,No
24/01/2024,2024,Q1,1,January,4,24,Wednesday,No,No
25/01/2024,2024,Q1,1,January,4,25,Thursday,No,No
26/01/2024,2024,Q1,1,January,4,26,Friday,No,No
27/01/2024,2024,Q1,1,January,4,27,Saturday,Yes,No
28/01/2024,2024,Q1,1,January,4,28,Sunday,Yes,No
29/01/2024,2024,Q1,1,January,5,29,Monday,No,No
30/01/2024,2024,Q1,1,January,5,30,Tuesday,No,No
31/01/2024,2024,Q1,1,January,5,31,Wednesday,No,Yes
01/02/2024,2024,Q1,2,February,5,1,Thursday,No,No
02/02/2024,2024,Q1,2,February,5,2,Friday,No,No
03/02/2024,2024,Q1,2,February,5,3,Saturday,Yes,No
04/02/2024,2024,Q1,2,February,5,4,Sunday,Yes,No
05/02/2024,2024,Q1,2,February,6,5,Monday,No,No
06/02/2024,2024,Q1,2,February,6,6,Tuesday,No,No
07/02/2024,2024,Q1,2,February,6,7,Wednesday,No,No
08/02/2024,2024,Q1,2,February,6,8,Thursday,No,No
09/02/2024,2024,Q1,2,February,6,9,Friday,No,No
10/02/2024,2024,Q1,2,February,6,10,Saturday,Yes,No
11/02/2024,2024,Q1,2,February,6,11,Sunday,Yes,No
12/02/2024,2024,Q1,2,February,7,12,Monday,No,No
13/02/2024,2024,Q1,2,February,7,13,Tuesday,No,No
14/02/2024,2024,Q1,2,February,7,14,Wednesday,No,No
15/02/2024,2024,Q1,2,February,7,15,Thursday,No,No
16/02/2024,2024,Q1,2,February,7,16,Friday,No,No
17/02/2024,2024,Q1,2,February,7,17,Saturday,Yes,No
18/02/2024,2024,Q1,2,February,7,18,Sunday,Yes,No
19/02/2024,2024,Q1,2,February,8,19,Monday,No,No
