transaction_id,transaction_time,transaction_date,customer_key,account_key,transaction_key,amount,account_balance
2UXNZ5,01/01/2024 23:56,01/01/2024,438,1983,22,10.1,1908.45
4STDFF,01/01/2024 23:54,01/01/2024,1717,1102,17,33.55,33.55
YBNV5M,01/01/2024 23:54,01/01/2024,1173,1863,15,16.96,16.96
V4AQVR,01/01/2024 23:54,01/01/2024,1267,558,19,16.57,723.71
5W5NJL,01/01/2024 23:52,01/01/2024,1478,1450,15,15.51,4939.19
W2VATU,01/01/2024 23:51,01/01/2024,1187,825,16,2.61,3763.84
MQAHOP,01/01/2024 23:51,01/01/2024,966,869,17,5.8,2148.1
U4GBGC,01/01/2024 23:50,01/01/2024,1575,1033,10,24.05,4485.66
C9RBC2,01/01/2024 23:46,01/01/2024,1339,2238,12,83.98,1177.38
NALSLL,01/01/2024 23:45,01/01/2024,1851,395,17,36.68,4155.96
E4CG9G,01/01/2024 23:41,01/01/2024,404,1658,11,13.76,13.76
6FGKXR,01/01/2024 23:38,01/01/2024,263,2399,22,22.15,76699.54
0DMT0T,01/01/2024 23:37,01/01/2024,1266,1449,15,5.4,5.4
SZVJAT,01/01/2024 23:36,01/01/2024,1297,1043,16,9.61,4069.13
C5Y9OO,01/01/2024 23:35,01/01/2024,452,2165,21,16.5,478.88
Q9UDB2,01/01/2024 23:34,01/01/2024,283,1405,15,7.8,2256.47
WZB913,01/01/2024 23:33,01/01/2024,804,181,22,43.62,3791.74
4EPLKA,01/01/2024 23:32,01/01/2024,1650,82,19,13.04,13.04
JJOX1K,01/01/2024 23:27,01/01/2024,1099,1718,15,14.38,1322.19
1T4GCH,01/01/2024 23:27,01/01/2024,436,1955,10,156.03,2989.1
ZW9FRJ,01/01/2024 23:25,01/01/2024,1338,721,11,5.32,563.67
LOLUPF,01/01/2024 23:22,01/01/2024,251,895,19,8.36,3734.88
JJT6DU,01/01/2024 23:21,01/01/2024,849,499,11,34.55,34.55
U16BFM,01/01/2024 23:20,01/01/2024,1832,1590,15,132.51,4608.46
5ZTKVK,01/01/2024 23:19,01/01/2024,853,1789,11,20.51,26.6
0GGTQI,01/01/2024 23:13,01/01/2024,1364,65,11,15.69,2247.06
16Q9PK,01/01/2024 23:06,01/01/2024,620,875,17,28,28
7Z63MX,01/01/2024 23:03,01/01/2024,934,2261,17,4.69,75947.49
4XPZWY,01/01/2024 22:58,01/01/2024,1001,1577,11,21.4,21.4
